epoch	time elapsed	training_roc	validation_roc	test_roc	best_test_roc
229	2.07602491776	0.818918533314	0.80231339111	0.817133717202	0.817133717202
467	4.13925768534	0.797131999118	0.781374056472	0.789703557308	0.817133717202
703	6.21508497	0.883901217915	0.856692060386	0.790895920765	0.790895920765
928	8.2913014849	0.963747908533	0.928092675426	0.79118938179	0.79118938179
1166	10.3444031358	0.991625572316	0.962419625384	0.791439863941	0.791439863941
1415	12.4195257028	0.999450317125	0.976369863014	0.795950818882	0.795950818882
1657	14.494372352	1.0	0.978767123288	0.787822536826	0.787822536826
1898	16.5678239663	1.0	0.981164383562	0.788934173874	0.788934173874
2141	18.6305766503	1.0	0.978595890411	0.786174930073	0.788934173874
2360	20.6930112998	1.0	0.977568493151	0.785809132089	0.788934173874
2580	22.7557697018	1.0	0.977910958904	0.786090882494	0.788934173874
2823	24.8183195194	1.0	0.979109589041	0.784115598007	0.788934173874
3067	26.880833753	1.0	0.979280821918	0.783882556993	0.788934173874
3289	28.9431864858	1.0	0.978595890411	0.783537770904	0.788934173874
3512	31.0044827024	1.0	0.977739726027	0.783185344126	0.788934173874
3733	33.0655850013	1.0	0.978938356164	0.781995223624	0.788934173874
3956	35.1271959186	1.0	0.978082191781	0.779910187428	0.788934173874
4180	37.1885828336	1.0	0.978082191781	0.781623695124	0.788934173874
4403	39.2500624498	1.0	0.978253424658	0.78167144943	0.788934173874
4626	41.3108352184	1.0	0.978253424658	0.781794655539	0.788934173874
4847	43.3717405677	1.0	0.978253424658	0.78328276291	0.788934173874
5068	45.4324888031	1.0	0.978253424658	0.781813757261	0.788934173874
5289	47.4936750531	1.0	0.978253424658	0.785030653705	0.788934173874
5510	49.5547997197	1.0	0.978253424658	0.784860648376	0.788934173874
5731	51.6158478022	1.0	0.978767123288	0.780183342059	0.788934173874
5952	53.6784847021	1.0	0.978253424658	0.784873064496	0.788934173874
6171	55.7397335013	1.0	0.978595890411	0.785125207231	0.788934173874
