epoch	time elapsed	training_roc	validation_roc	test_roc	best_test_roc
171	2.03336806695	0.5	0.5	0.5	0.0
346	4.06688291629	0.5	0.5	0.5	0.0
522	6.10046963294	0.5	0.5	0.5	0.0
697	8.13400353193	0.5	0.5	0.5	0.0
875	10.1675697803	0.5	0.5	0.5	0.0
1050	12.2012220144	0.5	0.5	0.5	0.0
1226	14.2348435005	0.5	0.5	0.5	0.0
1402	16.2686464667	0.5	0.5	0.5	0.0
1578	18.3022606174	0.5	0.5	0.5	0.0
1753	20.3359196822	0.5	0.5	0.5	0.0
1928	22.3677611311	0.5	0.5	0.5	0.0
2104	24.3971445163	0.5	0.5	0.5	0.0
2279	26.4343020002	0.5	0.5	0.5	0.0
2456	28.4680546482	0.5	0.5	0.5	0.0
2633	30.494684883	0.5	0.5	0.5	0.0
2812	32.5214812001	0.5	0.5	0.5	0.0
2990	34.5480085492	0.5	0.5	0.5	0.0
3168	36.5750723163	0.5	0.5	0.5	0.0
3348	38.6013750831	0.5	0.5	0.5	0.0
3527	40.6283828815	0.5	0.5	0.5	0.0
epoch	time elapsed	training_roc	validation_roc	test_roc	best_test_roc
3707	42.6700998505	0.5	0.5	0.5	0.0
167	2.04228599866	0.5	0.5	0.5	0.0
3878	44.7112596671	0.5	0.5	0.5	0.0
4050	46.7528996309	0.5	0.5	0.5	0.0
4221	48.7947516481	0.5	0.5	0.5	0.0
4392	50.8364772638	0.5	0.5	0.5	0.0
4565	52.8782148163	0.5	0.5	0.5	0.0
4734	54.9197164814	0.5	0.5	0.5	0.0
4901	56.9608471473	0.5	0.5	0.5	0.0
5071	59.0029079159	0.5	0.5	0.5	0.0
5242	61.0448517839	0.5	0.5	0.5	0.0
epoch	time elapsed	training_roc	validation_roc	test_roc	best_test_roc
159	2.04011540016	0.5	0.5	0.5	0.0
322	4.08027350108	0.5	0.5	0.5	0.0
486	6.12057643334	0.5	0.5	0.5	0.0
650	8.1608318011	0.5	0.5	0.5	0.0
824	10.1867588679	0.5	0.5	0.5	0.0
1005	12.2138828158	0.5	0.5	0.5	0.0
1180	14.2556575179	0.5	0.5	0.5	0.0
1352	16.2971153498	0.5	0.5	0.5	0.0
