3032	10.2205408692	0.926207392659	0.901969434732
epoch	time elapsed	training_roc_score	validation_roc_score	test_roc_score	best_test_roc_score605	2.04397826592	0.87019822709	0.865439005439	0.917901355769	0.9179013557691236	4.08893746535	0.888159225966	0.877327117327	0.924977552245	0.9249775522451856	6.13365174929	0.88379997622	0.866573426573	0.947135532089	0.9249775522452480	8.1795792977	0.935582242954	0.908702408702	0.930871116795	0.9308711167953095	10.2260118167	0.962216248812	0.929945609946	0.928110819909	0.9281108199093708	12.2722247163	0.946451331297	0.915104895105	0.932563529221	0.9281108199094329	14.3163970669	0.994815621312	0.961087801088	0.916587441546	0.9165874415464954	16.3603878498	0.998518205615	0.967567987568	0.921802587705	0.9218025877055576	18.4061603824	0.99924764521	0.968360528361	0.921015795391	0.9210157953916200	20.4501628478	0.999411863552	0.966666666667	0.918810178466	0.921015795391epoch	time elapsed	training_roc_score	validation_roc_score	test_roc_score	best_test_roc_score
98	2.11986701488	0.5	0.5	0.5	0.0
198	4.24082764784	0.5	0.5	0.5	0.0
epoch	time elapsed	training_roc_score	validation_roc_score	test_roc_score	best_test_roc_score
97	2.12142458359	0.5	0.5	0.5	0.0
202	4.24221003453	0.5	0.5	0.5	0.0
epoch	time elapsed	training_roc_score	validation_roc_score	test_roc_score	best_test_roc_score
303	2.09053850174	0.907574549996	0.893131554919	0.929867750601	0.929867750601
614	4.18563221693	0.999957716702	0.975535118425	0.927194524511	0.927194524511
929	6.27709083557	1.0	0.976860499472	0.928235420267	0.928235420267
epoch	time elapsed	training_roc_score	validation_roc_score	test_roc_score	best_test_roc_score
144	2.09393988053	0.5	0.5	0.5	0.0
284	4.19121110042	0.5	0.5	0.5	0.0
424	6.32354258299	0.86613226778	0.863838380298	0.960766844554	0.960766844554
566	8.45588545005	0.93335330345	0.914378965502	0.924462829484	0.924462829484
698	10.5884067496	0.996280367465	0.971468836018	0.937321836393	0.937321836393
841	12.7203792493	0.999795396419	0.978472990771	0.935145501383	0.935145501383
988	14.8182956139	1.0	0.977523189995	0.93478550701	0.935145501383
1135	16.9453889489	1.0	0.978848571042	0.935388217853	0.935388217853
