11061	15.0587333163	0.788900857658	0.908823529412
epoch	time elapsed	training_roc	validation_roc	test_roc	best_test_roc
178	2.06408820152	0.5	0.5	0.5	0.0
338	4.12687743505	0.5	0.5	0.5	0.0
516	6.19010130167	0.5	0.5	0.5	0.0
700	8.25275738637	0.5	0.5	0.5	0.0
885	10.3155502518	0.5	0.5	0.5	0.0
1068	12.3754610856	0.5	0.5	0.5	0.0
1248	14.4351718187	0.5	0.5	0.5	0.0
1429	16.4951338371	0.5	0.5	0.5	0.0
1610	18.5538722197	0.5	0.5	0.5	0.0
1791	20.6203323841	0.839919767768	0.832037359459	0.93601202051	0.93601202051
1952	22.6861097336	0.884565663934	0.862063623218	0.900972028902	0.900972028902
2118	24.7523499012	0.985318111782	0.9609031487	0.823855646416	0.823855646416
2279	26.8185104171	0.9902370297	0.969442559093	0.853296685021	0.853296685021
2440	28.8848293503	0.999665719539	0.979022191401	0.852388750154	0.852388750154
2601	30.9511572003	0.999958214942	0.981102635229	0.851047764768	0.851047764768
2763	33.0173312028	0.999631947	0.983496621123	0.850326610922	0.850326610922
epoch	time elapsed	training_roc	validation_roc	test_roc	best_test_roc
158	2.0777681311	0.5	0.5	0.5	0.0
317	4.17400253216	0.835394558548	0.837697297899	0.934286598846	0.934286598846
476	6.27015599807	0.871429991235	0.86284907482	0.903468114177	0.903468114177
634	8.36630876462	0.973182031392	0.938743584718	0.854929227904	0.854929227904
793	10.4626314322	0.996619912447	0.97422433867	0.849919018913	0.849919018913
952	12.5594980836	0.99949651758	0.980040941658	0.852431991239	0.852431991239
1111	14.6215919495	0.99974825879	0.978164448994	0.850807636018	0.852431991239
1272	16.7307198485	0.999832172527	0.980893892869	0.849618634093	0.849618634093
1432	18.8102506161	0.999958043132	0.978505629478	0.848363491219	0.849618634093
1585	20.8853749156	0.999958043132	0.979017400205	0.850472837434	0.849618634093
1744	22.9634097497	1.0	0.979870351416	0.844340535064	0.849618634093
1902	25.0415963014	1.0	0.978505629478	0.850128571867	0.849618634093
