epoch	time elapsed	training_roc	validation_roc	test_roc	best_test_roc
118	2.18313309749	0.866836900583	0.865338745985	0.957473890425	0.957473890425
246	4.36535583337	0.892628765416	0.884650016079	0.939386634431	0.939386634431
375	6.54672709703	0.933866953285	0.91499002417	0.921845075344	0.921845075344
504	8.72915738424	0.990137416453	0.962787907289	0.935400506293	0.935400506293
632	10.9116625508	0.999326329562	0.976231591396	0.935616313134	0.935616313134
761	13.095625333	1.0	0.976910016978	0.93657988028	0.93657988028
890	15.2631671151	1.0	0.977758913413	0.935444488472	0.935444488472
1019	17.4120565971	1.0	0.977419354839	0.935841142569	0.935444488472
1143	19.5936427315	1.0	0.97843803056	0.936223128031	0.936223128031
1271	21.7757964333	1.0	0.978947368421	0.936686561973	0.936686561973
