epoch	time elapsed	training_roc	validation_roc	test_roc	best_test_roc
217	2.06738323371	0.5	0.5	0.5	0.0
446	4.13445936441	0.5	0.5	0.5	0.0
694	6.20277496576	0.5	0.5	0.5	0.0
913	8.27146406571	0.5	0.5	0.5	0.0
1133	10.3398928642	0.5	0.5	0.5	0.0
1366	12.393644766	0.5	0.5	0.5	0.0
1603	14.4631774505	0.5	0.5	0.5	0.0
1821	16.5316387177	0.5	0.5	0.5	0.0
2045	18.5994512995	0.5	0.5	0.5	0.0
2267	20.6797646165	0.615371288497	0.601932719859	0.508457388783	0.508457388783
2502	22.7603765011	0.999915218313	0.992836676218	0.504333188529	0.504333188529
2745	24.8406484326	0.999915218313	0.993373925501	0.509049949652	0.509049949652
2969	26.9201915145	1.0	0.99409025788	0.505143481136	0.505143481136
