epoch	time elapsed	training_roc	validation_roc	test_roc	best_test_roc
187	2.12852559884	0.5	0.5	0.5	0.0
381	4.25657804807	0.5	0.5	0.5	0.0
576	6.3832099994	0.5	0.5	0.5	0.0
777	8.51009763479	0.5	0.5	0.5	0.0
981	10.6385532339	0.5	0.5	0.5	0.0
1181	12.7687283317	0.5	0.5	0.5	0.0
1378	14.896307083	0.5	0.5	0.5	0.0
1577	17.0247712811	0.5	0.5	0.5	0.0
1776	19.1533863505	0.5	0.5	0.5	0.0
1976	21.3009903828	0.570545556252	0.544107142857	0.506376677224	0.506376677224
2160	23.4488279144	0.999832523865	0.975178571429	0.514514351067	0.514514351067
2343	25.5925457001	1.0	0.97875	0.508394539845	0.508394539845
2528	27.7208612005	1.0	0.975535714286	0.5158597808	0.508394539845
