epoch	time elapsed	training_roc	validation_roc	test_roc	best_test_roc
268	2.09152076642	0.590992557245	0.562882154115	0.523529595422	0.523529595422
548	4.17414524953	0.531364005121	0.52303233017	0.503237853143	0.523529595422
823	6.27423841556	0.867607855635	0.810608896629	0.534633245456	0.534633245456
1107	8.35908963283	0.924937256333	0.871640977229	0.528805457774	0.528805457774
1385	10.4442228993	0.978038971007	0.942756229756	0.52587133935	0.52587133935
1667	12.5295036316	0.99419396792	0.966705458531	0.527741084349	0.527741084349
1935	14.6166891138	0.997785842174	0.978237221743	0.524985237434	0.524985237434
2194	16.6939766169	0.998923638072	0.977984938991	0.523177168115	0.524985237434
2446	18.7731664499	0.999706523562	0.97691884091	0.522620791097	0.524985237434
