epoch	time elapsed	training_roc	validation_roc	test_roc	best_test_roc
279	2.05087771813	0.508408230823	0.501786420907	0.503096519668	0.503096519668
532	4.10221809944	0.553320083778	0.525885898458	0.521293024389	0.521293024389
785	6.15008035103	0.556247037201	0.516624037254	0.509605005065	0.521293024389
1039	8.19828048547	0.530954884967	0.511446857562	0.511026311468	0.521293024389
epoch	time elapsed	training_roc	validation_roc	test_roc	best_test_roc
293	2.05145678123	0.523420932971	0.532181818182	0.515131169835	0.515131169835
594	4.10330598354	0.600363006101	0.578181818182	0.523695082953	0.523695082953
894	6.15508354902	0.697369537548	0.652363636364	0.520446237621	0.520446237621
1181	8.20663224856	0.762725475684	0.709272727273	0.506252641019	0.506252641019
1495	10.2571295341	0.795455003796	0.750909090909	0.511535693658	0.511535693658
1808	12.3045557658	0.790092102334	0.75	0.513080539774	0.511535693658
2126	14.3551822146	0.910089400716	0.889454545455	0.51478416994	0.51478416994
2447	16.4056404988	0.960107379792	0.936909090909	0.529491946392	0.529491946392
2769	18.452793618	0.955677868233	0.934363636364	0.52122908636	0.529491946392
3091	20.503109018	0.992691363004	0.979454545455	0.528410074345	0.528410074345
3409	22.5364270647	0.983068657239	0.963272727273	0.522382923287	0.528410074345
3726	24.58509835	0.991182832932	0.976727272727	0.521941538683	0.528410074345
